,UniProtId,EnsemblGeneId
614,P43155,ENSG00000095321
615,P15085,ENSG00000091704
616,P22830,ENSG00000066926
617,O43252,ENSG00000138801
618,P47929,ENSG00000178934
619,P47929,ENSG00000205076
620,P47929,ENSG00000282902
621,P47929,ENSG00000283082
622,P61024,ENSG00000173207
623,P51161,ENSG00000170231
624,P16083,ENSG00000124588
625,P06730,ENSG00000151247
626,P14174,ENSG00000240972
627,P14174,ENSG00000276701
628,P55809,ENSG00000083720
629,P08842,ENSG00000101846
630,P62312,ENSG00000164167
631,Q7Z2Z2,ENSG00000140598
632,P61626,ENSG00000090382
633,P84077,ENSG00000143761
634,P09467,ENSG00000165140
635,Q06124,ENSG00000179295
636,P00505,ENSG00000125166
637,O00204,ENSG00000088002
638,P04054,ENSG00000170890
639,Q99714,ENSG00000072506
640,P14920,ENSG00000110887
641,Q13002,ENSG00000164418
642,Q06520,ENSG00000105398
643,O00763,ENSG00000076555
644,P0DP23,ENSG00000198668
645,O60911,ENSG00000136943
646,Q00987,ENSG00000135679
647,P11172,ENSG00000114491
648,P49888,ENSG00000109193
649,Q10588,ENSG00000109743
650,Q15075,ENSG00000102189
651,P06850,ENSG00000147571
652,Q05315,ENSG00000105205
653,P20813,ENSG00000197408
654,P00973,ENSG00000089127
655,P11766,ENSG00000197894
656,Q03013,ENSG00000168765
657,P24557,ENSG00000059377
658,P00746,ENSG00000197766
659,P00746,ENSG00000274619
660,P12268,ENSG00000178035
661,P78368,ENSG00000133275
662,P11413,ENSG00000160211
663,P04745,ENSG00000174876
664,P04745,ENSG00000187733
665,P04745,ENSG00000237763
666,Q14376,ENSG00000117308
667,Q02750,ENSG00000169032
668,P42574,ENSG00000164305
669,Q92876,ENSG00000167755
670,Q04760,ENSG00000124767
671,P23919,ENSG00000168393
672,P32019,ENSG00000204084
673,Q86VU5,ENSG00000165644
674,P23434,ENSG00000140905
675,Q00266,ENSG00000151224
676,P51659,ENSG00000133835
677,Q9UNK4,ENSG00000117215
678,Q9NZD2,ENSG00000139433
679,Q96QU6,ENSG00000110455
680,P23526,ENSG00000101444
681,P13639,ENSG00000167658
682,Q9HAN9,ENSG00000173614
683,Q92947,ENSG00000105607
684,P62993,ENSG00000177885
685,P78330,ENSG00000146733
686,P28161,ENSG00000213366
687,O00142,ENSG00000166548
688,O14556,ENSG00000105679
689,Q03181,ENSG00000112033
690,O43739,ENSG00000008256
691,P61925,ENSG00000171033
692,P01303,ENSG00000122585
693,P55210,ENSG00000165806
694,P15309,ENSG00000014257
695,Q99418,ENSG00000105443
696,P48637,ENSG00000100983
697,P33316,ENSG00000128951
698,P11310,ENSG00000117054
699,P09960,ENSG00000111144
700,P34096,ENSG00000258818
701,P11086,ENSG00000141744
702,Q9NXA8,ENSG00000124523
703,Q8WVQ1,ENSG00000171302
704,P19438,ENSG00000067182
705,Q8N142,ENSG00000185100
706,Q13231,ENSG00000133063
707,P29218,ENSG00000133731
708,P22102,ENSG00000159131
709,P22102,ENSG00000262473
710,P23368,ENSG00000082212
711,Q16836,ENSG00000138796
712,P49366,ENSG00000095059
713,P13929,ENSG00000108515
714,P30085,ENSG00000162368
715,P06132,ENSG00000126088
716,Q96CD2,ENSG00000138621
717,P05067,ENSG00000142192
718,P25774,ENSG00000163131
719,P55055,ENSG00000131408
720,Q9UKG9,ENSG00000005469
721,P07686,ENSG00000049860
722,P35270,ENSG00000116096
723,Q16775,ENSG00000063854
724,P04406,ENSG00000111640
725,P36897,ENSG00000106799
726,P23415,ENSG00000145888
727,P99999,ENSG00000172115
728,P02741,ENSG00000132693
729,P51178,ENSG00000187091
730,Q99798,ENSG00000100412
731,P51687,ENSG00000139531
732,P52732,ENSG00000138160
733,P00167,ENSG00000166347
734,P26440,ENSG00000128928
735,P32119,ENSG00000167815
736,P53355,ENSG00000196730
737,Q9UQM7,ENSG00000070808
738,P20339,ENSG00000144566
739,Q9GZU7,ENSG00000144579
740,Q96RQ9,ENSG00000104951
741,P17213,ENSG00000101425
742,Q9NWM0,ENSG00000088826
743,Q6PKH6,ENSG00000187630
744,Q9UDR5,ENSG00000008311
745,P24666,ENSG00000143727
746,P02689,ENSG00000147588
